,time,sex,vegan,rest,games,series,books,english,USSR_lover,child_offence_Не били,child_offence_Разве что по делу,child_offence_Часто,dvach_Лучшая борда рунета,dvach_Не знаю,dvach_Ненавижу Абу,dvach_Паблик в вк,gender_Альтернативная,gender_Би,gender_Гетеро,antisemetism_Да,antisemetism_Нет,antisemetism_Я просто боюсь евреев,subject_Биология,subject_Иностранные языки,subject_Информатика,subject_История,subject_Литература,subject_Матеша,subject_Физика,subject_Химия,crimea_Мне всё равно,crimea_Отрицательно,crimea_Положительно,putin_good,rebel,Драма,Боевик,Аниме,Комедия,Фантастика,Исторический фильм,Детектив,Трагедия,Фильм ужасов
67,2019-10-06 08:38:36,0,2,1,3,2,3,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,True,False,True,False,True,True,False,False,False
68,2019-10-06 08:42:08,1,1,0,1,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,False,False,False,False,True,False,False,False,False
69,2019-10-06 09:01:31,0,2,1,5,2,1,4,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,True,True,False,True,True,True,True,True,False
70,2019-10-06 09:17:27,0,0,0,4,4,7,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,False,True,True,False,True,True,False,False,False
71,2019-10-06 09:27:25,1,3,0,0,1,5,3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False,False,True,True,True,True,False,False,False
72,2019-10-06 09:30:40,1,2,1,2,5,5,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,True,False,True,True,True,False,False,False,False
73,2019-10-06 09:31:49,1,1,1,1,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,False,False,False,True,False,False,True,False,True
74,2019-10-06 09:32:56,1,1,1,1,3,7,3,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,True,True,False,True,True,True,True,True,True
75,2019-10-06 09:33:16,1,3,0,0,3,4,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,False,False,False,True,True,False,False,False,False
76,2019-10-06 09:34:37,0,0,0,1,5,4,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,False,False,False,True,True,True,True,True,True
77,2019-10-06 09:34:57,1,4,1,0,5,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,False,False,False,False,False,True,False,False,False
78,2019-10-06 09:42:06,1,2,0,1,6,3,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,True,False,False,False,False,True,True,True,False
79,2019-10-06 09:50:43,1,5,0,2,5,6,5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,False,False,True,True,True,False,True,False,False
80,2019-10-06 10:18:36,0,2,0,2,2,1,3,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,False,True,False,True,True,False,False,False,False
81,2019-10-06 11:00:06,1,0,1,3,7,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False,True,False,True,True,False,True,False,False
82,2019-10-06 11:02:32,1,2,1,0,7,7,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,False,False,True,False,True,False,False,False,True
83,2019-10-06 11:02:50,1,3,1,0,3,4,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,False,False,False,False,False,True,False,False,False
84,2019-10-06 11:05:40,1,1,0,0,3,5,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,True,False,False,True,False,False,False,False,True
85,2019-10-06 11:10:37,1,0,1,0,2,5,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False,False,False,True,False,False,False,False,False
86,2019-10-06 11:20:21,1,2,0,0,5,5,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,False,False,False,True,True,False,False,True,False
87,2019-10-06 11:22:51,0,1,0,3,3,2,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,False,False,False,False,True,False,False,False,False
88,2019-10-06 11:50:31,0,1,1,7,5,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,False,True,False,True,True,False,False,False,False
89,2019-10-06 12:06:54,1,0,1,4,7,3,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,False,False,True
90,2019-10-06 12:11:20,1,2,0,0,7,7,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,True,False,False,True,True,True,True,False,False
91,2019-10-06 12:13:58,0,1,1,6,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,False,False,True,False,True,False,True,False,True
92,2019-10-06 12:42:26,0,3,0,2,1,5,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,False,True,True,False,True,False,False
93,2019-10-06 12:44:59,1,4,0,0,7,7,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,False,False,False,False,True,False,False,False,True
94,2019-10-06 12:48:38,0,2,1,4,3,2,3,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,False,True,True,True,True,True,True,False,False
95,2019-10-06 12:48:50,0,0,1,1,4,2,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,False,False,False,False,False,False,False,True,False
96,2019-10-06 12:54:09,0,0,0,1,1,1,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,False,True,False,False,False,False,True,False,False
97,2019-10-06 13:25:04,1,1,1,3,5,6,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,True,True,False,True,True,True,True,False,False
98,2019-10-06 13:27:31,0,1,1,6,4,5,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,False,True,False,True,True,True,True,True,True
99,2019-10-06 13:59:19,0,1,0,3,4,2,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,False,True,False,True,True,True,True,False,True
100,2019-10-06 14:06:01,0,2,1,4,2,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,False,True,True,True,True,True,True,False,False
101,2019-10-06 14:06:07,0,1,1,1,5,2,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,True,True,False,True,True,False,False,False,False
102,2019-10-06 14:08:55,1,2,1,4,2,6,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,False,True,False,True,False,True,True,False,False
103,2019-10-06 14:11:17,0,0,1,5,4,5,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,False,False,False,True,True,True,True,False,False
104,2019-10-06 14:13:30,0,1,0,2,1,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,False,False,False,True,True,False,False,False,True
105,2019-10-06 14:15:49,1,1,0,5,5,3,3,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,True,True,False,True,True,True,True,False,False
106,2019-10-06 14:17:38,1,2,1,4,3,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,True,False,False,False,False,True,False,False,False
107,2019-10-06 14:18:05,1,2,1,2,4,2,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,True,True,True,True,True,False,True,False,False
108,2019-10-06 14:22:09,0,3,1,3,1,5,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,False,False,False,False,True,True,False,False,False
